"","NOMBRE","Atropello","Choque","Otro","HERIDO","MUERTO","SOLO_DANOS","NO_LABORAL","LABORAL","cluster"
"72","Ecoparque Cerro El Volador",27,102,40,99,2,68,36,133,"1"
"73","Eduardo Santos",4,19,19,30,0,12,13,29,"1"
"74","El Castillo",10,250,22,86,1,195,53,229,"1"
"75","El Chagualo",215,1439,403,1054,18,985,495,1562,"2"
"76","El Compromiso",36,55,17,78,0,30,38,70,"1"
"77","El Corazón",27,61,38,98,2,26,43,83,"1"
"78","El Danubio",29,266,94,250,3,136,109,280,"1"
"79","El Diamante",126,423,454,760,1,242,333,670,"3"
"80","El Diamante No.2",11,212,36,93,1,165,62,197,"1"
"81","El Llano SE",2,15,4,7,0,14,4,17,"1"
"82","El Nogal-Los Almendros",23,357,53,197,4,232,72,361,"1"
"83","El Pesebre",30,93,65,128,0,60,64,124,"1"
"84","El Picacho",4,6,11,17,0,4,6,15,"1"
"85","El Pinal",108,264,160,340,4,188,182,350,"3"
"86","El Plan",35,84,192,263,0,48,145,166,"1"
"87","El Poblado",66,1098,176,423,7,910,312,1028,"3"
"88","El Pomar",63,184,95,263,1,78,127,215,"1"
"89","El Progreso",104,1283,393,927,2,851,457,1323,"3"
"90","El Raizal",86,219,173,352,2,124,157,321,"1"
"91","El Rincón",86,459,301,514,1,331,262,584,"3"
"92","El Rodeo",20,99,42,96,1,64,44,117,"1"
"93","El Salado",39,75,68,135,0,47,67,115,"1"
"94","El Salvador",69,318,181,355,3,210,201,367,"3"
"95","El Socorro",21,25,19,49,1,15,28,37,"1"
"96","El Tesoro",13,524,98,221,1,413,147,488,"1"
"97","El Triunfo",12,11,26,41,0,8,19,30,"1"
"98","El Uvito",0,1,0,1,0,0,1,0,"1"
"99","El Velódromo",41,509,130,366,2,312,164,516,"1"
"100","Enciso",97,391,168,468,10,178,209,447,"3"
"101","Estación Villa",203,776,226,617,12,576,325,880,"3"
"102","Estadio",125,954,303,727,3,652,359,1023,"3"
"103","Facultad de Minas",44,682,439,691,3,471,303,862,"3"
"104","Facultad Veterinaria y Zootecnia U.de.A.",15,171,46,134,0,98,66,166,"1"
"105","Fátima",57,897,166,589,2,529,257,863,"3"
"106","Ferrini",24,173,62,136,0,123,58,201,"1"
"107","Florencia",42,191,124,246,1,110,130,227,"1"
"108","Florida Nueva",89,577,132,401,7,390,211,587,"3"
"109","Francisco Antonio Zea",76,338,178,403,0,189,191,401,"1"
"110","Fuente Clara",12,55,33,82,2,16,32,68,"1"
"111","Gerona",65,242,139,311,0,135,148,298,"1"
"112","Girardot",92,577,357,690,6,330,289,737,"3"
"113","Granada",40,354,70,227,2,235,100,364,"1"
"114","Granizal",89,171,80,198,7,135,133,207,"1"
"115","Guayabal",139,1732,454,1085,14,1226,434,1891,"2"
"116","Guayaquil",347,2726,440,1415,32,2066,677,2836,"2"
"117","Héctor Abad Gómez",43,631,236,530,10,370,256,654,"3"
"118","Hospital San Vicente de Paúl",15,98,22,64,0,71,23,112,"1"
"119","Inst",19,114,35,82,5,81,35,133,"1"
"120","Jardín Botánico",22,132,49,105,3,95,67,136,"1"
"121","Jesús Nazareno",178,1370,442,1096,25,869,466,1524,"2"
"122","Juan Pablo II",11,10,14,27,0,8,13,22,"1"
"123","Juan XXIII La Quiebra",36,68,57,110,2,49,53,108,"1"
"124","Kennedy",192,410,321,668,2,253,314,609,"3"
"125","La Aguacatala",43,1482,313,741,9,1088,343,1495,"3"
"126","La Alpujarra",55,1078,189,512,3,807,239,1083,"3"
"127","La América",121,752,233,578,11,517,264,842,"3"
"128","La Avanzada",31,56,25,86,0,26,44,68,"1"
"129","La Candelaria",929,3547,625,2123,43,2935,1081,4020,"2"
"130","La Castellana",42,585,88,348,2,365,188,527,"1"
"131","La Colina",50,293,166,298,3,208,161,348,"1"
"132","La Cruz",33,43,21,71,1,25,36,61,"1"
"133","La Esperanza",152,257,267,555,5,116,235,441,"3"
"134","La Esperanza No.2",36,48,34,94,0,24,49,69,"1"
"135","La Floresta",70,496,158,405,3,316,171,553,"3"
"136","La Florida",38,727,84,274,1,574,174,675,"1"
"137","La Francia",61,130,66,174,0,83,88,169,"1"
"138","La Frontera",54,114,64,158,0,74,82,150,"1"
"139","La Gloria",50,635,268,543,1,409,266,687,"3"
"140","La Hondonada",9,120,47,99,0,77,51,125,"1"
"141","La Isla",70,77,46,138,2,53,72,121,"1"
"142","La Ladera",8,48,25,51,0,30,29,52,"1"
"143","La Libertad",54,147,119,214,1,105,104,216,"1"
"144","La Loma",27,130,77,149,2,83,82,152,"1"
"145","La Loma de Los Bernal",25,301,99,194,2,229,125,300,"1"
"146","La Mansión",30,192,65,197,0,90,89,198,"1"
"147","La Milagrosa",58,326,111,310,7,178,176,319,"1"
"148","La Mota",22,272,90,214,3,167,129,255,"1"
"149","La Palma",70,438,161,381,3,285,200,469,"3"
"150","La Pilarica",28,321,119,264,1,203,130,338,"1"
"151","La Piñuela",51,176,107,245,3,86,110,224,"1"
"152","La Pradera",61,177,151,286,2,101,147,242,"1"
"153","La Rosa",47,114,70,174,2,55,92,139,"1"
"154","La Salle",156,246,158,420,3,137,226,334,"3"
"155","La Sierra",2,3,12,15,0,2,8,9,"1"
"156","La Verde",2,27,12,21,0,20,12,29,"1"
"157","Lalinde",3,138,9,55,0,95,27,123,"1"
"158","Las Acacias",76,1200,255,654,6,871,411,1120,"3"
"159","Las Brisas",63,645,287,603,8,384,299,696,"3"
"160","Las Esmeraldas",69,221,98,241,5,142,123,265,"1"
"161","Las Estancias",68,95,94,205,0,52,107,150,"1"
"162","Las Granjas",262,522,330,828,14,272,441,673,"3"
"163","Las Independencias",30,16,26,60,0,12,20,52,"1"
"164","Las Lomas No.1",12,448,83,195,0,348,121,422,"1"
